"","year","id","go","m","l","k","sic3dig","countyear","va"
"969",80,86517,10826.0615234375,3831,32,2475.5185546875,356,8,6995.0615234375
"970",83,86517,10773.3203125,5650.7001953125,27,6771.82958984375,356,8,5122.6201171875
"971",85,86517,27620.962890625,8943.64453125,23,9324.26953125,356,8,18677.318359375
"972",79,86517,5179.5263671875,1299.01928710938,12,1409.38366699219,356,8,3880.50708007812
"973",81,86517,11237.4716796875,4354.60400390625,20,7045.33154296875,356,8,6882.86767578125
"974",84,86517,17131.748046875,6224.01806640625,23,9739.7763671875,356,8,10907.73046875
"975",82,86517,13325.189453125,2528.89306640625,15,6578.88720703125,356,8,10796.296875
"976",86,86517,35759.890625,14814.4306640625,36,17334.669921875,356,8,20945.4609375
"977",86,86751,896597.75,535062.9375,296,112304.1328125,311,8,361534.8125
"978",83,86751,970633.25,636766.5,259,127530.3828125,311,8,333866.75
"979",85,86751,817903,539663.625,290,111819.625,311,8,278239.375
"980",84,86751,843418.8125,565225.9375,188,110996.6640625,311,8,278192.875
"981",81,86751,662402.5625,409306.21875,166,106294.109375,311,8,253096.34375
